change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.6055363321799307,0.5241051862673485,0.03200692041522491
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dit: ('(-0.005, 0.125)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.6055363321799307,0.3649732620320855,0.024693299779804972
"[""lcom3: ('(-0.005, 0.295)', '(0.475, 0.885)')""]","bug: ('1', '0')",0.6055363321799307,0.49259259259259264,0.04440599769319492
"[""cam: ('(-0.005, 0.34500000000000003)', '(0.485, 0.655)')""]","bug: ('1', '0')",0.6055363321799307,0.3901895206243033,0.022742089163030943
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.6055363321799307,0.5299980831895725,0.03240570320744068
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dit: ('(0.285, 0.425)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.6055363321799307,0.6404842342342343,0.03988249711649366
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')""]","bug: ('1', '0')",0.5882352941176471,0.43551797040169127,0.1104852337651887
"[""dam: ('(-0.005, 0.10500000000000001)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.5882352941176471,0.36594911937377683,0.02033464473621842
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""cam: ('(-0.005, 0.34500000000000003)', '(0.335, 0.405)')""]","bug: ('1', '0')",0.5882352941176471,0.39766081871345027,0.02575932333717801
"[""cam: ('(0.395, 0.445)', '(0.645, 0.765)')""]","bug: ('1', '0')",0.5882352941176471,0.47222222222222215,0.03827854671280276
